name,clust,clust_order,comp,comp_order,text
090000648411ccba,1,1,1,1,Cutting SNAP benefits would cause 19 percent of SNAP households to get lower SNAP monthly benefits which would make the struggles many low-income people have paying for costs of both food and utilities much worse. It would cause harmful impacts on health and well-being as well as on the economy. It would have a disproportionate negative impact on elderly people and people with disabilities.
090000648404e4cb,1,2,1,2,"the proposal would

Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
Have harmful impacts on health and well-being as well as on the economy.
Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
Disproportionately impact elderly people and people with disabilities.
This is just wrong. We will be judged on the way we treat those most in need among us."
09000064841db970,1,3,1,3,"The proposed rule would create additional struggles many low-income people have for paying both food and utilities, and would put undue harm on some of the most vulnerable. This rule would have harmful impacts on the economy but more importantly the health and well-being of individuals. In addition, it would decrease monthly benefits of 19% of SNAP households, which is problematic for individuals that are trying to make ends meet. As a researcher that studies food insecurity, this shift would be detrimental to individuals that are working hard to lift themselves out of poverty."
090000648411cef2,1,4,1,4,This new regulation would cause 19 percent of SNAP households to get lower SNAP monthly benefits which would make the struggles many low-income people have paying for costs of both food and utilities much worse. It would cause harmful impacts on health and well-being as well as on the economy. It would have a disproportionate negative impact on elderly people and people with disabilities.
090000648405d2b3,1,5,1,5,"SNAP is a program that supports the most vulnerable in this country by providing support for purchasing food. This policy change will further exacerbate the struggles that many low-income people already face. It will impact their health, as well as money that would have been circulating into our economy. 19% of SNAP households will get lower monthly benefits with this change, and it will disproportionately impact elderly people and people with disabilities. This is a poor policy decision that further punishes poor people."
09000064840293d9,1,6,1,6,"Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
Have harmful impacts on health and well-being as well as on the economy.
Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
Disproportionately impact elderly people and people with disabilities."
090000648402715e,1,7,1,7,"USDA's proposed rule on SNAP Standardization of State Heating and Cooling Standard Utility Allowances would have disastrous effects on hundreds of thousands of Americans--because it would cut program benefits by a total of $4.5 billion over five years.

This huge cut in benefits would:
-Exacerbate the struggles many low-income people already have paying for costs of both food and utilities.  
-Have harmful impacts on health and well-being-- as well as on our economy.
-Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
-Disproportionately impact elderly people and people with disabilities.

I join all those Americans asking the USDA to not pass this rule.
"
090000648402b260,1,8,1,8,"The Trump Administration would horrifically:

1. Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
2. Have harmful impacts on health and well-being as well as on the economy.
3. Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
4. Disproportionately impact elderly people and people with disabilities."
090000648410c021,1,9,1,9,"The proposal would 
 Exacerbate the struggles many low-income people have paying for costs of both food and utilities.   
 Have harmful impacts on health and well-being as well as on the economy. 
 Cause 19 percent of SNAP households to get lower SNAP monthly benefits. 
 Disproportionately impact elderly people and people with disabilities. 
"
0900006484022b21,1,10,1,10,"This proposal would:
    Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
    Have harmful impacts on health and well-being as well as on the economy.
    Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
    Disproportionately impact elderly people and people with disabilities.
"
0900006484148161,1,11,1,11,"This misguided agenda will: Exacerbate the struggles many low-income people have paying for costs of both food and utilities.   
Have harmful impacts on health and well-being as well as on the economy. 
Cause 19 percent of SNAP households to get lower SNAP monthly benefits. 
Disproportionately impact elderly people"
090000648419f28b,1,12,1,12,"Please don't enact this proposal. It wiil
make it so hard on many low-income people with paying for costs of both food and utilities.  it will harm 
the health and well-being as well as on the economy.
Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
Disproportionately impact elderly people and people with disabilities."
09000064841032e6,1,13,1,13,"the proposal would

Exacerbate the struggles many low-income people have paying for costs of both food and utilities.  
Have harmful impacts on health and well-being as well as on the economy.
Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
Disproportionately impact elderly people and people with disabilities.

Thank you very much, John Oda"
09000064841199e6,1,14,1,14,"The USDA's proposed rule on SNAP Standardization of State Heating and Cooling Standard Utility Allowances is a disgrace and should absolutely not be implemented.  This proposed rule would exacerbate the struggles many low-income people have paying for costs of both food and utilities, result in harmful impacts on health and well-being as well as on the economy, cause 19 percent of SNAP households to get lower SNAP monthly benefits, and disproportionately impact elderly people and people with disabilities.
"
0900006484105d01,1,15,1,15,"Have harmful impacts on health and well-being as well as on the economy.
Cause 19 percent of SNAP households to get lower SNAP monthly benefits.
Disproportionately impact elderly people and people with disabilities exacerbated the struggles many low-income people"
