clust,comp,name,text,comp_order,clust_order,rule
1,1,09000064844729a9,"Dear Administrator Andrew Wheeler,

The best policy decisions are informed by science.  For example, if your child had a severe medical condition, you would not disregard the opinions of those physicians with the greatest expertise.  That would be disastrously irresponsible.

As such, Iam writing to strongly oppose the Environmental Protection Agency's (EPA) proposal to restrict the science that is used in its decisionmaking processes.

In issuing this proposed rule, the EPA claims that it would be making science more transparent. But it instead would put researchers in the difficult position of choosing between protecting privacy and security versus allowing their work to be used in EPA decisionmaking. It would excessively burden EPA staff with reanalyzing data from each study used to support a rulemaking which is not only pointless as peer review already is a check on the work of researchers, but it would be resource intensive and time consuming.
 
The EPA's proposed rule has three fundamental flaws that render it unfeasible. 

First, the agency provides insufficient justification and analyses to support the rule. The proposal includes no analyses of the rule's effect on the EPA's mission-related work, the costs or benefits of such a move, and the problem that such a rule is addressing.

Second, the proposal would restrict the agency's ability to implement and enforce mission-critical laws by blocking the EPA from using many kinds of scientific studies vital to its decisionmaking, including studies that rely on personal health data, confidential business information, intellectual property, or older studies for which the authors or data sources may not be accessible. 

Finally, the rule would grant the EPA administrator broad authority to exclude individual studies or entire decisions from being subject to its provisions on a case-by-case basis, giving the administrator unprecedented power to decide what the best available science is. 

The rule does nothing to advance the cause of transparency in the broader scientific community. This issue is best addressed with the full involvement of scientists, science advisors, and scientific institutions, not designed solely by political appointees.

The EPA must not move forward with this rulemaking as it would undermine science-based decisionmaking at the agency, and limit its ability to protect public health and the environment.

Sincerely,
Leah Webb
Wilmer, AL 36587",1,1,EPA-HQ-OA-2018-0259-9322
1,1,090000648446d81d,"Dear Administrator Andrew Wheeler,

I am writing to strongly oppose the Environmental Protection Agency's (EPA) proposal to restrict the science that is used in its decisionmaking processes.

In issuing this proposed rule, the EPA claims that it would be making science more transparent. But it instead would put researchers in the difficult position of choosing between protecting privacy and security versus allowing their work to be used in EPA decisionmaking. It would excessively burden EPA staff with reanalyzing data from each study used to support a rulemaking which is not only pointless as peer review already is a check on the work of researchers, but it would be resource intensive and time consuming.
 
The EPA's proposed rule has three fundamental flaws that render it unfeasible. 

First, the agency provides insufficient justification and analyses to support the rule. The proposal includes no analyses of the rule's effect on the EPA's mission-related work, the costs or benefits of such a move, and the problem that such a rule is addressing.

Second, the proposal would restrict the agency's ability to implement and enforce mission-critical laws by blocking the EPA from using many kinds of scientific studies vital to its decisionmaking, including studies that rely on personal health data, confidential business information, intellectual property, or older studies for which the authors or data sources may not be accessible. 

Finally, the rule would grant the EPA administrator broad authority to exclude individual studies or entire decisions from being subject to its provisions on a case-by-case basis, giving the administrator unprecedented power to decide what the best available science is. 

The rule does nothing to advance the cause of transparency in the broader scientific community. This issue is best addressed with the full involvement of scientists, science advisors, and scientific institutions, not designed solely by political appointees.

The Covid 19 pandemic offers us a powerful example of why we need rigorous, peer reviewed, objective science to guide government agencies policy decisions.  Science must never be politicized,  and must never be watered down or dismissed  because of its impact on the economy.

The EPA must not move forward with this rulemaking as it would undermine science-based decisionmaking at the agency, and limit its ability to protect public health and the environment.

Sincerely,
Mary Shesgreen
Elgin, IL 60123",2,2,EPA-HQ-OA-2018-0259-9322
1,1,090000648446eecc,"Dear Administrator Andrew Wheeler,

I am writing to strongly oppose the Environmental Protection Agency's (EPA) proposal to restrict the science that is used in its decision making processes.
 We are now surrounded by a health crisis, with thousands of Americans dying, in part as a result of ignoring the scientific evidence. 
In issuing this proposed rule, the EPA claims that it would be making science more transparent. But it instead would put researchers in the difficult position of choosing between protecting privacy and security versus allowing their work to be used in EPA decisionmaking. It would excessively burden EPA staff with reanalyzing data from each study used to support a rulemaking which is not only pointless as peer review already is a check on the work of researchers, but it would be resource intensive and time consuming.
 
The EPA's proposed rule has three fundamental flaws that render it unfeasible. 

First, the agency provides insufficient justification and analyses to support the rule. The proposal includes no analyses of the rule's effect on the EPA's mission-related work, the costs or benefits of such a move, and the problem that such a rule is addressing.

Second, the proposal would restrict the agency's ability to implement and enforce mission-critical laws by blocking the EPA from using many kinds of scientific studies vital to its decisionmaking, including studies that rely on personal health data, confidential business information, intellectual property, or older studies for which the authors or data sources may not be accessible. 

Finally, the rule would grant the EPA administrator broad authority to exclude individual studies or entire decisions from being subject to its provisions on a case-by-case basis, giving the administrator unprecedented power to decide what the best available science is. 

The rule does nothing to advance the cause of transparency in the broader scientific community. This issue is best addressed with the full involvement of scientists, science advisors, and scientific institutions, not designed solely by political appointees.

The EPA must not move forward with this rulemaking as it would undermine science-based decisionmaking at the agency, and limit its ability to protect public health and the environment.

Sincerely,
Adeline Kurz
New York, NY 10065",5,3,EPA-HQ-OA-2018-0259-9322
1,1,0900006484615c9d,"Dear Administrator Andrew Wheeler,

I am a concerned American citizen writing to VERY STRONGLY OPPOSE the Environmental Protection Agency's (EPA) HORRIBLE proposal that would restrict the science that is used in its decision making processes. OBJECTIVE SCIENTIFIC  INFORMATION IS DESPERATELY NEEDED IN ALL EPA MATTERS! To restrict such information is extremely foolhardy and absolutely NOT in our nations best interest!!!

In issuing this ridiculous proposed rule, the EPA claims that it would be making science more transparent which I think you know is not true! But  instead it would put researchers in the very difficult position of choosing between protecting privacy and security versus allowing their work to be used in EPA decisionmaking. It would  excessively burden EPA staff with reanalyzing data from each study used to support a rulemaking which is not only pointless as peer review already is a check on the work of researchers, but it would be resource intensive and time consuming. In short it would be disastrous and produce very bad results!!
 
The EPA's proposed rule has three fundamental flaws that render it COMPLETELY AND TOALLY UNFEASIBLE! 

First, the agency definitely provides insufficient justification and analyses to support the rule. The proposal includes NO analyses of the rule's effect on the EPA's mission-related work, the costs or benefits of such a move, and the problem that such a rule is addressing!!

Second, the proposal would absolutely restrict the agency's ability to implement and enforce mission-critical laws by blocking the EPA from using many kinds of scientific studies that are COMPLETELY VITAL to its decisionmaking, including studies that rely on personal health data, confidential business information, intellectual property, or older studies for which the authors or data sources may not be accessible. 

Finally, the rule would grant the EPA administrator ABSURD AND COMPLETELY INAPPROPRIATE broad authority to exclude individual studies or entire decisions from being subject to its provisions on a case-by-case basis, giving the administrator despicable, unprecedented power to decide what the best available science is!! THIS WOULD BE NOTHING SHORT OF IMMORAL, INSANE  AND COMPLETELY WRONG!! 

The rule does nothing to ACTUALLY ADVANCE the cause of transparency in the broader scientific community!! This issue is best addressed with the FULL AND TOTAL  involvement of scientists, science advisors, and scientific institutions, NOT designed solely by ANY political appointees!!! TO ALLOW THIS HORRIFIC PROPOSED RULE WOULD BE COMPLETELY IRRATIONAL AND GO AGAINST THE VERY MISSION AND INTENDED PURPOSE OF THE EPA!!! PLEASE DO NOT GO FORWARD WITH THIS PROPOSED RULE CHANGE!! OUR NATIONS PUBLIC HEALTH IN AT STAKE AND THE VAST MAJORITY OF AMERICANS DO NOT WANT TO SEE THIS RULE  CHANGE HAPPEN, NOT NOW, NOT EVER!!!!!!!!

The EPA must not move forward with this rulemaking as it would undermine science-based decisionmaking at the agency, and limit its ability to protect public health and the environment.

Sincerely,
Kim Young
Kingston Springs, TN 37082",6,4,EPA-HQ-OA-2018-0259-9322
1,1,0900006484472fb3,"Dear Administrator Andrew Wheeler,

I am writing to strongly oppose the Environmental Protection Agency's (EPA) proposal to restrict the science that is used in its decisionmaking processes. Rulemaking should be as transparent as possible and should use broad  range of studies to determine rules--not a limited and selective group of studies.  and the administrator should not have unlimited freedom to restrict information from which good rules can be drawn.

In issuing this proposed rule, the EPA claims that it would be making science more transparent. But it instead would put researchers in the difficult position of choosing between protecting privacy and security versus allowing their work to be used in EPA decisionmaking. It would excessively burden EPA staff with reanalyzing data from each study used to support a rulemaking which is not only pointless as peer review already is a check on the work of researchers, but it would be resource intensive and time consuming.
 
The EPA's proposed rule has three fundamental flaws that render it unfeasible. 

First, the agency provides insufficient justification and analyses to support the rule. The proposal includes no analyses of the rule's effect on the EPA's mission-related work, the costs or benefits of such a move, and the problem that such a rule is addressing.

Second, the proposal would restrict the agency's ability to implement and enforce mission-critical laws by blocking the EPA from using many kinds of scientific studies vital to its decisionmaking, including studies that rely on personal health data, confidential business information, intellectual property, or older studies for which the authors or data sources may not be accessible. 

Finally, the rule would grant the EPA administrator broad authority to exclude individual studies or entire decisions from being subject to its provisions on a case-by-case basis, giving the administrator unprecedented power to decide what the best available science is. 

The rule does nothing to advance the cause of transparency in the broader scientific community. This issue is best addressed with the full involvement of scientists, science advisors, and scientific institutions, not designed solely by political appointees.

The EPA must not move forward with this rulemaking as it would undermine science-based decisionmaking at the agency, and limit its ability to protect public health and the environment.

Sincerely,
Margo Reeg
Whittier, CA 90603",9,5,EPA-HQ-OA-2018-0259-9322
1,1,090000648449b22b,"Dear Administrator Andrew Wheeler,

I am writing to strongly oppose the Environmental Protection Agency's (EPA) proposal to restrict the science that is used in its decisionmaking processes.

In issuing this proposed rule, the EPA claims that it would be making science more transparent. But it instead would put researchers in the difficult position of choosing between protecting privacy and security versus allowing their work to be used in EPA decisionmaking. It would excessively burden EPA staff with reanalyzing data from each study used to support a rulemaking which is not only pointless as peer review already is a check on the work of researchers, but it would be resource intensive and time consuming.
 
The EPA's proposed rule has three fundamental flaws that render it unfeasible. 

First, the agency provides insufficient justification and analyses to support the rule. The proposal includes no analyses of the rule's effect on the EPA's mission-related work, the costs or benefits of such a move, and the problem that such a rule is addressing.

Second, the proposal would restrict the agency's ability to implement and enforce mission-critical laws by blocking the EPA from using many kinds of scientific studies vital to its decisionmaking, including studies that rely on personal health data, confidential business information, intellectual property, or older studies for which the authors or data sources may not be accessible. 

Finally, the rule would grant the EPA administrator broad authority to exclude individual studies or entire decisions from being subject to its provisions on a case-by-case basis, giving the administrator unprecedented power to decide what the best available science is. 

The rule does nothing to advance the cause of transparency in the broader scientific community. This issue is best addressed with the full involvement of scientists, science advisors, and scientific institutions, not designed solely by political appointees.

The American people created and support with their tax contribution the ENVIRONMENTAL PROTECTION AGENCY. #45 and his Cabinet do not want a scientifically working EPA because it stops the polluters profits. We desperately need the EPAs scientific overview of corporations that prioritize their profits over and above our environment and the impact it has on our health and wellbeing. #45 and his Cabinet are destroying the world environment our children will inherit. We cannot allow it. #45 and his Cabinet are all our employees. We also support them with almost our exclusive tax contribution since #45 and his tax reform has eliminated any corporations obligation to contribute their fair tax. We are the American people, the only power that can stop this extreme abuse. We believe in Science. Scientists dedicate their lives and time to find ways to help humans to live in harmony with nature in order we preserve our survival on Earth. #45 and his denial of Science have become our worst enemy. Lets stop #45s irrational goal to remove Science and scientist from protecting our basic interest of living in a clean environment. No change in EPA regulations! 

The EPA must not move forward with this rulemaking as it would undermine science-based decisionmaking at the agency, and limit its ability to protect public health and the environment.

Sincerely,
Graciela Huth
Los Angeles, CA 90045",78,6,EPA-HQ-OA-2018-0259-9322
1,1,090000648446e7e8,"Dear Administrator Andrew Wheeler,

I am writing to strongly oppose the Environmental Protection Agency's (EPA) proposal to restrict the science that is used in its decisionmaking processes.  

In this difficult time, it couldn't be more clear that we must listen carefully to the scientists in order to preserve human life on our planet!!!

In issuing this proposed rule, the EPA claims that it would be making science more transparent. But it instead would put researchers in the difficult position of choosing between protecting privacy and security versus allowing their work to be used in EPA decisionmaking. It would excessively burden EPA staff with reanalyzing data from each study used to support a rulemaking which is not only pointless as peer review already is a check on the work of researchers, but it would be resource intensive and time consuming.
 
The EPA's proposed rule has three fundamental flaws that render it unfeasible. 

First, the agency provides insufficient justification and analyses to support the rule. The proposal includes no analyses of the rule's effect on the EPA's mission-related work, the costs or benefits of such a move, and the problem that such a rule is addressing.

Second, the proposal would restrict the agency's ability to implement and enforce mission-critical laws by blocking the EPA from using many kinds of scientific studies vital to its decisionmaking, including studies that rely on personal health data, confidential business information, intellectual property, or older studies for which the authors or data sources may not be accessible. 

Finally, the rule would grant the EPA administrator broad authority to exclude individual studies or entire decisions from being subject to its provisions on a case-by-case basis, giving the administrator unprecedented power to decide what the best available science is. 

The rule does nothing to advance the cause of transparency in the broader scientific community. This issue is best addressed with the full involvement of scientists, science advisors, and scientific institutions, not designed solely by political appointees.

The EPA must not move forward with this rulemaking as it would undermine science-based decisionmaking at the agency, and limit its ability to protect public health and the environment.

Sincerely,
Margaret Lucia
Carlisle, PA 17013",81,7,EPA-HQ-OA-2018-0259-9322
1,1,090000648446cd08,"Dear Administrator Andrew Wheeler,

I am writing to strongly oppose the Environmental Protection Agency's (EPA) proposal to restrict the science that is used in its decisionmaking processes.

In issuing this proposed rule, the EPA claims that it would be making science more transparent. But it instead would put researchers in the difficult position of choosing between protecting privacy and security versus allowing their work to be used in EPA decisionmaking. It would excessively burden EPA staff with reanalyzing data from each study used to support a rulemaking which is not only pointless as peer review already is a check on the work of researchers, but it would be resource intensive and time consuming.
 
The EPA's proposed rule has three fundamental flaws that render it unfeasible. 

First, the agency provides insufficient justification and analyses to support the rule. The proposal includes no analyses of the rule's effect on the EPA's mission-related work, the costs or benefits of such a move, and the problem that such a rule is addressing.

Second, the proposal would restrict the agency's ability to implement and enforce mission-critical laws by blocking the EPA from using many kinds of scientific studies vital to its decisionmaking, including studies that rely on personal health data, confidential business information, intellectual property, or older studies for which the authors or data sources may not be accessible. 

Finally, the rule would grant the EPA administrator broad authority to exclude individual studies or entire decisions from being subject to its provisions on a case-by-case basis, giving the administrator unprecedented power to decide what the best available science is. 

The rule does nothing to advance the cause of transparency in the broader scientific community. This issue is best addressed with the full involvement of scientists, science advisors, and scientific institutions, not designed solely by political appointees.

Given the idiotic and dangerous response by this Administration to the pandemci-it should be obvious that not using science based decision making kills people and puts the American public at risk.  Start doing your job not be political lapdogs.

The EPA must not move forward with this rulemaking as it would undermine science-based decisionmaking at the agency, and limit its ability to protect public health and the environment.

Sincerely,
Ramona Ponessa
Bandon, OR 97411",86,8,EPA-HQ-OA-2018-0259-9322
1,1,090000648446a9a8,"Dear Administrator Andrew Wheeler,

as a scientist with a long history in research, I am writing to strongly oppose the Environmental Protection Agency's (EPA) proposal to restrict the science that is used in its decision making processes.

The EPA claims that it would be making science more transparent. Instead would put researchers in the difficult position of choosing between protecting privacy and security versus allowing their peer-reviewed work to be used in EPA decision making. It would excessively burden EPA staff with reanalyzing data from each study used to support a rule. This is pointless: as peer review is already a check on the work of researchers to ensure that the results claimed are supported by the data, and that the data are valid.
 
Furthermore, the EPA's proposed rule change has three fundamental flaws that render it unfeasible. 

1. The agency provides insufficient justification and analyses to support the rule. The proposal includes no analyses of the rule's effect on the EPA's mission-related work, the costs or benefits of such a move, and the problem that such a rule is addressing.

2. The proposal would restrict the agency's ability to implement and enforce mission-critical laws by blocking the EPA from using many kinds of scientific studies vital to its decision making, including studies that rely on personal health data, confidential business information, intellectual property, or older studies for which the authors or data sources may not be accessible. 

3. The rule would grant the EPA administrator broad authority to exclude individual studies or entire decisions from being subject to its provisions on a case-by-case basis, giving the administrator unprecedented power to decide what the best available science is. 

The rule does nothing to advance the cause of transparency in the broader scientific community. This issue is best addressed with the full involvement of scientists, science advisors, and scientific institutions, not designed solely by political appointees.

The EPA must not move forward with this rulemaking as it would undermine science-based decisionmaking at the agency, and limit its ability to protect public health and the environment.

Sincerely,
Loyal Durand
Aspen, CO 81611",87,9,EPA-HQ-OA-2018-0259-9322
1,1,0900006484469c1d,"Dear Administrator Andrew Wheeler,

I am writing to strongly oppose the Environmental Protection Agency's (EPA) proposal to restrict the science that is used in its decisionmaking processes.

In issuing this proposed rule, the EPA claims that it would be making science more transparent. But it instead would put researchers in the difficult position of choosing between protecting privacy and security versus allowing their work to be used in EPA decisionmaking. It would excessively burden EPA staff with reanalyzing data from each study used to support a rulemaking which is not only pointless as peer review already is a check on the work of researchers, but it would be resource intensive and time consuming.
 
The EPA's proposed rule has three fundamental flaws that render it unfeasible.  This action does not serve the needs nor the role of the EPA.  

First, the agency provides insufficient justification and analyses to support the rule. The proposal includes no analyses of the rule's effect on the EPA's mission-related work, the costs or benefits of such a move, and the problem that such a rule is addressing.

Second, the proposal would restrict the agency's ability to implement and enforce mission-critical laws by blocking the EPA from using many kinds of scientific studies vital to its decisionmaking, including studies that rely on personal health data, confidential business information, intellectual property, or older studies for which the authors or data sources may not be accessible. 

Finally, the rule would grant the EPA administrator broad authority to exclude individual studies or entire decisions from being subject to its provisions on a case-by-case basis, giving the administrator unprecedented power to decide what the best available science is. 

The rule does nothing to advance the cause of transparency in the broader scientific community. This issue is best addressed with the full involvement of scientists, science advisors, and scientific institutions, not designed solely by political appointees.

The EPA must not move forward with this rulemaking as it would undermine science-based decisionmaking at the agency, and limit its ability to protect public health and the environment.

Sincerely,
Howard Homler
Orangevale, CA 95662",88,10,EPA-HQ-OA-2018-0259-9322
