clust,comp,name,text,comp_order,clust_order,rule
3,1,09000064844af653,"I am opposed to any and all the attempts to repeal or weaken clean water protections against toxic coal ash.
 
Water is necessary for life. However, water containing toxic pollutants threatens the health of all Americans, particularly those communities of color and low-wealth that disproportionately live on the front lines of toxic pollution. In this time of coronavirus pandemic, none of us should have to worry about pollution leaking from coal ash ponds, threatening our drinking water and the health of our families.
 
We cannot rely on the utilities and coal ash pond operators to set their own standards or decide if they want to clean up their pollution. This proposal to allow dangerous, leaky unlined ponds to continue operating and even allowing reopening of pits that were scheduled to close is reckless, prioritizes industry profits over our public health, and should be abandoned.",1,1,EPA-HQ-OLEM-2019-0361-0001
3,1,09000064844ad2fd,"A government of the people, by the people, and for the people. NOT for the fossil fuel buddies of the tRUMP administration.

I am opposed to any and all the attempts to repeal or weaken clean water protections against toxic coal ash.
 
Clean water is the lifeblood of our communities, but too many of us  especially communities of color and low-wealth communities that disproportionately live on the front lines of toxic pollution  have to worry about pollution leaking from coal ash ponds, threatening our drinking water and the health of our families.
 
We cannot rely on the utilities and coal ash pond operators to set their own standards or decide if they want to clean up their pollution. This proposal to allow dangerous, leaky unlined ponds to continue operating and even allowing reopening of pits that were scheduled to close is reckless, prioritizes industry profits over our public health, and should be abandoned.",11,2,EPA-HQ-OLEM-2019-0361-0001
3,1,09000064844aeffc,"I am opposed to any and all the attempts to repeal or weaken clean water protections against toxic coal ash.
 
After all of the water pollution-related issues we have had in this country, it is appalling that the EPA would take a step back protecting our water.  Public opinion is not in favor of these backward measures; only those with industry connections support them. 

Clean water is the lifeblood of our communities, but too many of us  especially communities of color and low-wealth communities that disproportionately live on the front lines of toxic pollution  have to worry about pollution leaking from coal ash ponds, threatening our drinking water and the health of our families.
 
We cannot rely on the utilities and coal ash pond operators to set their own standards or decide if they want to clean up their pollution. This proposal to allow dangerous, leaky unlined ponds to continue operating and even allowing reopening of pits that were scheduled to close is reckless, prioritizes industry profits over our public health, and should be abandoned.",13,3,EPA-HQ-OLEM-2019-0361-0001
3,1,09000064844ae2ca,"I am totally and absolutely opposed to any and all the attempts to repeal or weaken clean water protections against toxic coal ash dump sites. 
 
Clean water is a nessary and vital resource for our communities, but too many of us  especially communities of color and low-wealth communities that disproportionately live on the front lines of toxic pollution  have to worry about pollution leaking from coal ash ponds, threatening drinking water and the health of our families.
 
Allowing utilities and coal ash pond operators to set their own standards or decide if they want to clean up their pollution is unconscionable and nothing more than prostituting our resources to the highest bidder or political donor. This proposal to allow dangerous, leaky unlined ponds to continue operating and even allowing reopening of pits that were scheduled to close is reckless, prioritizes industry profits over our public health, and must be abandoned.",22,4,EPA-HQ-OLEM-2019-0361-0001
3,1,09000064844af0ae,"I implore you to be a responsible leader for ALL citizens. Make and keep ethical, moral, and safe EPA regulations and protections, especially for clean water.  

I am opposed to any and all the attempts to repeal or weaken clean water protections against toxic coal ash.

Clean water is the lifeblood of our communities, but too many of us  especially communities of color and low-wealth communities that disproportionately live on the front lines of toxic pollution  have to worry about pollution leaking from coal ash ponds, threatening our drinking water and the health of our families.
 
We cannot rely on the utilities and coal ash pond operators to set their own standards or decide if they want to clean up their pollution. This proposal to allow dangerous, leaky unlined ponds to continue operating and even allowing reopening of pits that were scheduled to close is reckless, prioritizes industry profits over our public health, and should be abandoned.",23,5,EPA-HQ-OLEM-2019-0361-0001
3,1,09000064844aec34,"I am opposed to any attempts to repeal or weaken clean water protections against toxic coal ash.
 
Clean water is the lifeblood of our communities.  Too many of us,especially communities of color and low-wealth disproportionately live on the front lines of toxic pollution. They have to worry about pollution leaking from coal ash ponds, threatening threatening drinking water, and the health of families.
 
We cannot rely on the utilities and coal ash pond operators to set their own standards or decide if they want to clean up their pollution. The proposal to allow dangerous, leaky unlined ponds to continue operating, and even allowing reopening of pits that were scheduled to close is reckless. It prioritizes industry profits over our public health, and should be abandoned.",24,6,EPA-HQ-OLEM-2019-0361-0001
3,1,09000064844af71d,"I am opposed to any and all the attempts to repeal or weaken clean water protections against toxic coal ash.
 
Clean water is the lifeblood of our communities, but too many of us  especially communities of color and low-wealth communities that disproportionately live on the front lines of toxic pollution  have to worry about pollution leaking from coal ash ponds, threatening our drinking water and the health of our families.
 
We cannot rely on the utilities and coal ash pond operators to set their own standards or decide if they want to clean up their pollution. This proposal to allow dangerous, leaky unlined ponds to continue operating and even allowing reopening of pits that were scheduled to close is reckless, prioritizes industry profits over our public health, and should be abandoned.

You a__HOLES continue to find ways to destroy THIS PLANET, EARTH.  Well, WE'RE PAYING FOR IT NOW.  The FOUR HORSEMEN OF APOCALYPSE, you f__king moronic imbeciles NEVER SAW THEM COMING.",27,7,EPA-HQ-OLEM-2019-0361-0001
3,1,09000064844b057f,"I am opposed to any and all the attempts to repeal or weaken clean water protections against toxic coal ash.
 
Clean water is the lifeblood of our communities, but too many of us  especially communities of color and low-wealth communities that disproportionately live on the front lines of toxic pollution  have to worry about pollution leaking from coal ash ponds, threatening our drinking water and the health of our families.
 
We cannot rely on the utilities and coal ash pond operators to set their own standards or decide if they want to clean up their pollution. This proposal to allow dangerous, leaky unlined ponds to continue operating and even allowing reopening of pits that were scheduled to close is reckless, prioritizes industry profits over our public health, and should be abandoned.

Allowing increases in water pollution will adversely affect the health of U.S. citizens, potentially exacerbating their response to current and future pandemics and leading to more deaths.",32,8,EPA-HQ-OLEM-2019-0361-0001
3,1,09000064844ac714,"I am opposed to any and all the attempts to repeal or weaken clean water protections against toxic coal ash.
 
Clean water is the lifeblood of our communities, but too many of us  especially communities of color and low-wealth communities that disproportionately live on the front lines of toxic pollution  have to worry about pollution leaking from coal ash ponds, threatening our drinking water and the health of our families.
 
We cannot rely on the utilities and coal ash pond operators to set their own standards or decide if they want to clean up their pollution. This proposal to allow dangerous, leaky unlined ponds to continue operating and even allowing reopening of pits that were scheduled to close is reckless, prioritizes industry profits over our public health, and should be abandoned. This is totally unprincipled idea and I'm asking that you reconsider for the benefit of the health of each and everyone of us.",36,9,EPA-HQ-OLEM-2019-0361-0001
3,1,09000064844afcd3,"I am opposed to any and all the attempts to repeal or weaken clean water protections against toxic coal ash. And shocked, frankly, that the current Administration is using the pandemic as a cover for upping its war against environmental regulations which are safeguards put in place to protect public health. 
 
Clean water is the lifeblood of our communities, but too many of us  especially communities of color and low-wealth communities that disproportionately live on the front lines of toxic pollution  have to worry about pollution leaking from coal ash ponds, threatening our drinking water and the health of our families.
 
We cannot rely on the utilities and coal ash pond operators to set their own standards or decide if they want to clean up their pollution. This proposal to allow dangerous, leaky unlined ponds to continue operating and even allowing reopening of pits that were scheduled to close is reckless, prioritizes industry profits over our public health, and should be abandoned.",37,10,EPA-HQ-OLEM-2019-0361-0001
