clust,comp,name,text,comp_order,clust_order,rule
1,1,090000648408ed6b,"You should always test the synergistic effects:
Pesticides occur in mixtures in air, soil, water, and agricultural products. The impacts of mixtures must be considered in all registration decisions.
The decision that a pesticide does not cause unreasonable adverse effects considering all the risks and benefits requires EPA to determine whether a pesticide is effective. Therefore, efficacy data should be required for all pesticides.
Synergistic effects of pesticides may involve interactions with pharmaceutical chemicals and naturally-occurring processes in humans and other organisms.
Synergistic effects may be mediated in the environment. For example, an herbicide may destroy habitat for an animal that is also poisoned by an insecticide.
EPA must investigate possible synergistic effects of all pesticides.",1,1,EPA-HQ-OPP-2017-0433-0001
1,1,090000648408e80e,"Pesticides occur in mixtures in air, soil, water, and agricultural products. The impacts of mixtures must be considered in all registration decisions.
The decision that a pesticide does not cause unreasonable adverse effects considering all the risks and benefits requires EPA to determine whether a pesticide is effective. Therefore, efficacy data should be required for all pesticides.
Synergistic effects of pesticides may involve interactions with pharmaceutical chemicals and naturally-occurring processes in humans and other organisms.
Synergistic effects may be mediated in the environment. For example, an herbicide may destroy habitat for an animal that is also poisoned by an insecticide.
EPA must investigate possible synergistic effects of all pesticides.",2,2,EPA-HQ-OPP-2017-0433-0001
1,1,090000648408e479,"Pesticides occur in mixtures in air, soil, water, and agricultural products. The impacts of mixtures must be considered in all registration decisions.
The decision that a pesticide does not cause unreasonable adverse effects considering all the risks and benefits requires EPA to determine whether a pesticide is effective. Therefore, efficacy data should be required for all pesticides.
Synergistic effects of pesticides may involve interactions with pharmaceutical chemicals and naturally-occurring processes in humans and other organisms.
Synergistic effects may be mediated in the environment. For example, an herbicide may destroy habitat for an animal that is also poisoned by an insecticide.
EPA must investigate possible synergistic effects of all pesticides.",9,3,EPA-HQ-OPP-2017-0433-0001
1,1,090000648408eb9f,"Pesticides occur in mixtures in air, soil, water, and agricultural products. The impacts of mixtures must be considered in all registration decisions.
The decision that a pesticide does not cause unreasonable adverse effects considering all the risks and benefits requires EPA to determine whether a pesticide is effective. Therefore, efficacy data should be required for all pesticides.
Synergistic effects of pesticides may involve interactions with pharmaceutical chemicals and naturally-occurring processes in humans and other organisms.
Synergistic effects may be mediated in the environment. For example, an herbicide may destroy habitat for an animal that is also poisoned by an insecticide.
EPA must investigate possible synergistic effects of all pesticides.",34,4,EPA-HQ-OPP-2017-0433-0001
1,1,090000648408f197,"COPIED FROM THE BEYOND PESTICIDES EMAIL TO ME AND I AGREE:
  ""Pesticides occur in mixtures in air, soil, water, and agricultural products. The impacts of mixtures must be considered in all registration decisions.
    The decision that a pesticide does not cause unreasonable adverse effects considering all the risks and benefits requires EPA to determine whether a pesticide is effective. Therefore, efficacy data should be required for all pesticides.
    Synergistic effects of pesticides may involve interactions with pharmaceutical chemicals and naturally-occurring processes in humans and other organisms.
    Synergistic effects may be mediated in the environment. For example, an herbicide may destroy habitat for an animal that is also poisoned by an insecticide.
    EPA must investigate possible synergistic effects of all pesticides.""
",38,5,EPA-HQ-OPP-2017-0433-0001
1,1,090000648408eb67,"Pesticides occur in mixtures in air, soil, water, and agricultural products. The impacts of mixtures must be considered in all registration decisions.
The decision that a pesticide does not cause unreasonable adverse effects considering all the risks and benefits requires EPA to determine whether a pesticide is effective. Therefore, efficacy data should be required for all pesticides.
Synergistic effects of pesticides may involve interactions with pharmaceutical chemicals and naturally-occurring processes in humans and other organisms.
Synergistic effects may be mediated in the environment. For example, an herbicide may destroy habitat for an animal that is also poisoned by an insecticide.
EPA must investigate possible synergistic effects of all pesticides.",59,6,EPA-HQ-OPP-2017-0433-0001
1,1,090000648408ed13,"I am writing to say that the EPA needs to investigate synergistic effects for all pesticides. As numerous reports have stated, including one from the EPA's own Inspector General, synergistic effects are pretty much unavoidable, the rule rather than the exception. Since pesticides occur in mixtures in air, soil, water, and agricultural products, the impacts of mixtures must be considered in all registration decisions.

Synergistic effects of pesticides may involve interactions with pharmaceutical chemicals and naturally-occurring processes in humans and other organisms. Synergistic effects may be mediated in the environment. For example, an herbicide may destroy habitat for an animal that is also poisoned by an insecticide. 

If the EPA fails to investigate possible synergistic effects in all pesticides, it is endangering the health of all Americans.",62,7,EPA-HQ-OPP-2017-0433-0001
1,1,09000064840e231b,"Pesticides can involve interactions with pharmaceutical chemicals and naturally-occurring processes in humans and other organisms.  Also, an herbicide may destroy habitat for an animal that is also poisoned by an insecticide.
Therefore, the EPA must investigate possible synergistic effects of all pesticides. Thank you.",70,8,EPA-HQ-OPP-2017-0433-0001
1,1,090000648408e877,"Pesticides occur in mixtures in air, soil, water, and agricultural products. The impacts of mixtures must be considered in all registration decisions.
The decision that a pesticide does not cause unreasonable adverse effects considering all the risks and benefits requires EPA to determine whether a pesticide is effective. Therefore, efficacy data should be required for all pesticides.
Synergistic effects of pesticides may involve interactions with pharmaceutical chemicals and naturally-occurring processes in humans and other organisms.
Synergistic effects may be mediated in the environment. For example, an herbicide may destroy habitat for an animal that is also poisoned by an insecticide.
EPA must investigate possible synergistic effects of all pesticides.",73,9,EPA-HQ-OPP-2017-0433-0001
1,1,090000648408e898,"Pesticides occur in mixtures in air, soil, water, and agricultural products. The impacts of mixtures must be considered in all registration decisions.

The decision that a pesticide does not cause unreasonable adverse effects considering all the risks and benefits requires EPA to determine whether a pesticide is effective. Therefore, efficacy data should be required for all pesticides.

Synergistic effects of pesticides may involve interactions with pharmaceutical chemicals and naturally-occurring processes in humans and other organisms.

Synergistic effects may be mediated in the environment. For example, an herbicide may destroy habitat for an animal that is also poisoned by an insecticide.

EPA must investigate possible synergistic effects of all pesticides.",76,10,EPA-HQ-OPP-2017-0433-0001
