clust,comp,name,text,comp_order,clust_order,rule
1,1,9.00006E+14,"Public comment on Federal Register -- 85 FR 16309.

I oppose the rollback of the nuisance provision of Ohio's Clean Air Act regulations.

The nuisance provision allows Ohio residents to take local pollution problems into their own hands and protect their communities by taking polluters to court. Without this provision, it will be more difficult for Ohioans to address local pollution problems. Eliminating this provision also destroys an important tool that gives both regulators and Ohio residents flexibility to address serious health concerns based on new scientific developments.

The EPA should do its job by enforcing current environmental protections -- not eliminate much-needed protections we already have.

Dawn Boggs
Amelia, OH 45102",1,1,EPA-R05-OAR-2020-0055-0007
1,1,9.00006E+14,"Public comment on Federal Register -- 85 FR 16309.

I oppose the rollback of the nuisance provision of Ohio's Clean Air Act regulations.

The nuisance provision allows Ohio residents to take local pollution problems into their own hands and protect their communities by taking polluters to court. Without this provision, it will be more difficult for Ohioans to address local pollution problems. Eliminating this provision also destroys an important tool that gives both regulators and Ohio residents flexibility to address serious health concerns based on new scientific developments.

The EPA should do its job by enforcing current environmental protections -- not eliminate much-needed protections we already have.

Sharon Daskal
Beachwood, OH 44122",2,2,EPA-R05-OAR-2020-0055-0007
1,1,9.00006E+14,"Public comment on Federal Register -- 85 FR 16309.

I oppose the rollback of the nuisance provision of Ohio's Clean Air Act regulations.

The nuisance provision ensures that threats to Ohioans' health and safety are prohibited, no matter what, and allows Ohio residents to take local pollution problems into their own hands and protect their communities by taking polluters to court. Without this provision, it will be more difficult for Ohioans to address local pollution problems. Eliminating this provision also destroys an important tool that gives both regulators and Ohio residents flexibility to address serious health concerns based on new scientific developments.

The EPA should do its job by enforcing current environmental protections -- not eliminate much-needed protections we already have.

I really believe this is an unnecessary intrusion on the part of the federal government...this proposed reg is needless and should be withdrawn.

Lisa Maatz
Sheffield Lake, OH 44054, United States",3,3,EPA-R05-OAR-2020-0055-0007
1,1,9.00006E+14,"Public comment on Federal Register -- 85 FR 16309.

I oppose the rollback of the nuisance provision of Ohio's Clean Air Act regulations.

The nuisance provision allows Ohio residents to take local pollution problems into their own hands and protect their communities by taking polluters to court. Without this provision, it will be more difficult for Ohioans to address local pollution problems. Eliminating this provision also destroys an important tool that gives both regulators and Ohio residents flexibility to address serious health concerns based on new scientific developments.

The EPA should do its job by enforcing current environmental protections -- not eliminate much-needed protections we already have.

Larry Clark
West Chester, OH 45069",4,4,EPA-R05-OAR-2020-0055-0007
1,1,9.00006E+14,"Public comment on Federal Register -- 85 FR 16309.

I oppose the rollback of the nuisance provision of Ohio's Clean Air Act regulations.

The nuisance provision allows Ohio residents to take local pollution problems into their own hands and protect their communities by taking polluters to court. Without this provision, it will be more difficult for Ohioans to address local pollution problems. Eliminating this provision also destroys an important tool that gives both regulators and Ohio residents flexibility to address serious health concerns based on new scientific developments.

The EPA should do its job by enforcing current environmental protections -- not eliminate much-needed protections we already have.

Ohioans need to control local pollution problems. Allow state control. Prevent federal government interference in Ohioans' right to protect ourselves. 

Michael Anitas
Olmsted Falls, OH 44138",5,5,EPA-R05-OAR-2020-0055-0007
1,1,9.00006E+14,"Public comment on Federal Register -- 85 FR 16309.

I oppose the rollback of the nuisance provision of Ohio's Clean Air Act regulations.

The nuisance provision allows Ohio residents to take local pollution problems into their own hands and protect their communities by taking polluters to court. Without this provision, it will be more difficult for Ohioans to address local pollution problems. Eliminating this provision also destroys an important tool that gives both regulators and Ohio residents flexibility to address serious health concerns based on new scientific developments.

The EPA should do its job by enforcing current environmental protections -- not eliminate much-needed protections we already have.

It is most imperative that we become stewards of our planet by adopting this provision.The quality of our lives and our health depends on it. 

Anne Minnelli
1374 Park Row Lakewood, OH 44107",6,6,EPA-R05-OAR-2020-0055-0007
1,1,9.00006E+14,"Public comment on Federal Register -- 85 FR 16309.

I oppose the rollback of the nuisance provision of Ohio's Clean Air Act regulations.

The nuisance provision allows Ohio residents to take local pollution problems into their own hands and protect their communities by taking polluters to court. Without this provision, it will be more difficult for Ohioans to address local pollution problems. Eliminating this provision also destroys an important tool that gives both regulators and Ohio residents flexibility to address serious health concerns based on new scientific developments.

The EPA should do its job by enforcing current environmental protections -- not eliminate much-needed protections we already have.

Deborah Schultz
Cincinnati, OH 45208",7,7,EPA-R05-OAR-2020-0055-0007
1,1,9.00006E+14,"Public comment on Federal Register -- 85 FR 16309.

I oppose the rollback of the nuisance provision of Ohio's Clean Air Act regulations.

The nuisance provision allows Ohio residents to take local pollution problems into their own hands and protect their communities by taking polluters to court. Without this provision, it will be more difficult for Ohioans to address local pollution problems. Eliminating this provision also destroys an important tool that gives both regulators and Ohio residents flexibility to address serious health concerns based on new scientific developments.

The EPA should do its job by enforcing current environmental protections -- not eliminate much-needed protections we already have.

Carl Entemann
Painesville, OH 44077",8,8,EPA-R05-OAR-2020-0055-0007
1,1,9.00006E+14,"Public comment on Federal Register -- 85 FR 16309.

I oppose the rollback of the nuisance provision of Ohio's Clean Air Act regulations.

The nuisance provision allows Ohio residents to take local pollution problems into their own hands and protect their communities by taking polluters to court. Without this provision, it will be more difficult for Ohioans to address local pollution problems. Eliminating this provision also destroys an important tool that gives both regulators and Ohio residents flexibility to address serious health concerns based on new scientific developments.

The EPA should do its job by enforcing current environmental protections -- not eliminate much-needed protections we already have.

This is a question of state's rights. The Environmental ""Protection"" Agency should be protecting states' rights to protect the environment, not protecting polluters. 

Joseph DeMare
Bowling Green, OH 43402",9,9,EPA-R05-OAR-2020-0055-0007
1,1,9.00006E+14,"Public comment on Federal Register -- 85 FR 16309.

I oppose the rollback of the nuisance provision of Ohio's Clean Air Act regulations.

The nuisance provision allows Ohio residents to take local pollution problems into their own hands and protect their communities by taking polluters to court. Without this provision, it will be more difficult for Ohioans to address local pollution problems. Eliminating this provision also destroys an important tool that gives both regulators and Ohio residents flexibility to address serious health concerns based on new scientific developments.

The EPA should do its job by enforcing current environmental protections -- not eliminate much-needed protections we already have.

Mary Johnson
Fremont, OH 43420,",10,10,EPA-R05-OAR-2020-0055-0007
