clust,comp,name,text,comp_order,clust_order,rule
4,1,090000648437321c,"I strongly oppose the USDA's proposed rule because it unfairly favors taxpayer-funded religious organizations over the people that government programs are intended to help. No one should be forced to sacrifice their religious freedom in order to qualify for basic government-funded services. 

The proposed rule will undermine access to critical services for youth such as school lunch programs and 4-H development and mentoring programs. The rule eliminates key religious freedom protections for participants while inviting employment discrimination by the government-funded service providers that are supposed to be serving everyone. 

This proposed rule is discriminatory and dangerous. In America, no one's access to vital services should depend on whether they share the religious beliefs of government-funded organizations. Please withdraw this harmful rule in its entirety.",1,1,USDA-2020-0009-0001
4,1,09000064843678c7,"I strongly oppose the USDA's proposed rule because it unfairly favors taxpayer-funded religious organizations over the people that government programs are intended to help. No one should be forced to sacrifice their religious freedom in order to qualify for basic government-funded services. 

The proposed rule will undermine access to critical services for youth such as school lunch programs and 4-H development and mentoring programs. The rule eliminates key religious freedom protections for participants while inviting employment discrimination by the government-funded service providers that are supposed to be serving everyone. 

This proposed rule is discriminatory and dangerous. In America, no one's access to vital services should depend on whether they share the religious beliefs of government-funded organizations. Please withdraw this harmful rule in its entirety.",69,2,USDA-2020-0009-0001
4,1,09000064843430aa,"I strongly oppose the USDAs proposed rule because it unfairly favors taxpayer-funded religious organizations over the people that government programs are intended to help. No one should be forced to sacrifice their religious freedom in order to qualify for basic government-funded services. 

The proposed rule will undermine access to critical services for youth such as school lunch programs and 4-H development and mentoring programs. The rule eliminates key religious freedom protections for participants while inviting employment discrimination by the government-funded service providers that are supposed to be serving everyone. 

This proposed rule is discriminatory and dangerous. In America, no ones access to vital services should depend on whether they share the religious beliefs of government-funded organizations. Please withdraw this harmful rule in its entirety.
",78,3,USDA-2020-0009-0001
4,1,0900006484313c49,"I strongly oppose the USDA's proposed rule because it unfairly favors taxpayer-funded religious organizations over the people that government programs are intended to help. No one should be forced to sacrifice their religious freedom in order to qualify for basic government-funded services. 

The proposed rule will undermine access to critical services for youth such as school lunch programs and 4-H development and mentoring programs. The rule eliminates key religious freedom protections for participants while inviting employment discrimination by the government-funded service providers that are supposed to be serving everyone. 

This proposed rule is discriminatory and dangerous. In America, no one's access to vital services should depend on whether they share the religious beliefs of government-funded organizations. Please withdraw this harmful rule in its entirety.",80,4,USDA-2020-0009-0001
4,1,09000064843739f2,"I strongly oppose the USDA's proposed rule because it unfairly favors taxpayer-funded religious organizations over the people that government programs are intended to help. No one should be forced to sacrifice their religious freedom in order to qualify for basic government-funded services. 

The proposed rule will undermine access to critical services for youth such as school lunch programs and 4-H development and mentoring programs. The rule eliminates key religious freedom protections for participants while inviting employment discrimination by the government-funded service providers that are supposed to be serving everyone. 

This proposed rule is discriminatory and dangerous. In America, no one's access to vital services should depend on whether they share the religious beliefs of government-funded organizations. Please withdraw this harmful rule in its entirety.",81,5,USDA-2020-0009-0001
4,1,0900006484314ce8,"I strongly oppose the USDA's proposed rule because it unfairly favors taxpayer-funded religious organizations over the people that government programs are intended to help. No one should be forced to sacrifice their religious freedom in order to qualify for basic government-funded services. 

The proposed rule will undermine access to critical services for youth such as school lunch programs and 4-H development and mentoring programs. The rule eliminates key religious freedom protections for participants while inviting employment discrimination by the government-funded service providers that are supposed to be serving everyone. 

This proposed rule is discriminatory and dangerous. In America, no one's access to vital services should depend on whether they share the religious beliefs of government-funded organizations. Please withdraw this harmful rule in its entirety.",83,6,USDA-2020-0009-0001
4,1,090000648435d8ca,"I strongly oppose the USDA's proposed rule because it unfairly favors taxpayer-funded religious organizations over the people that government programs are intended to help. No one should be forced to sacrifice their religious freedom in order to qualify for basic government-funded services. 

The proposed rule will undermine access to critical services for youth such as school lunch programs and 4-H development and mentoring programs. The rule eliminates key religious freedom protections for participants while inviting employment discrimination by the government-funded service providers that are supposed to be serving everyone. 

This proposed rule is discriminatory and dangerous. In America, no one's access to vital services should depend on whether they share the religious beliefs of government-funded organizations. Please withdraw this harmful rule in its entirety.",92,7,USDA-2020-0009-0001
4,1,090000648436f808,"I strongly oppose the USDA's proposed rule because it unfairly favors taxpayer-funded religious organizations over the people that government programs are intended to help. No one should be forced to sacrifice their religious freedom in order to qualify for basic government-funded services. 

The proposed rule will undermine access to critical services for youth such as school lunch programs and 4-H development and mentoring programs. The rule eliminates key religious freedom protections for participants while inviting employment discrimination by the government-funded service providers that are supposed to be serving everyone. 

This proposed rule is discriminatory and dangerous. In America, no one's access to vital services should depend on whether they share the religious beliefs of government-funded organizations. Please withdraw this harmful rule in its entirety.",103,8,USDA-2020-0009-0001
4,1,9.00E+108,"I strongly oppose the USDA's proposed rule because it unfairly favors taxpayer-funded religious organizations over the people that government programs are intended to help. No one should be forced to sacrifice their religious freedom in order to qualify for basic government-funded services. 

The proposed rule will undermine access to critical services for youth such as school lunch programs and 4-H development and mentoring programs. The rule eliminates key religious freedom protections for participants while inviting employment discrimination by the government-funded service providers that are supposed to be serving everyone. 

This proposed rule is discriminatory and dangerous. In America, no one's access to vital services should depend on whether they share the religious beliefs of government-funded organizations. Please withdraw this harmful rule in its entirety.",106,9,USDA-2020-0009-0001
4,1,090000648435d1d9,"I am no atheist, just a mom of a tax-paying, transgender person. And I strongly oppose the USDA's proposed rule because it unfairly favors taxpayer-funded religious organizations over the people that government programs are intended to help. No one should be forced to sacrifice their religious freedom in order to qualify for basic government-funded services. 

The proposed rule will undermine access to critical services for youth such as school lunch programs and 4-H development and mentoring programs. The rule eliminates key religious freedom protections for participants while inviting employment discrimination by the government-funded service providers that are supposed to be serving everyone. 

This proposed rule is discriminatory and dangerous. In America, no one's access to vital services should depend on whether they share the religious beliefs of government-funded organizations. Please withdraw this harmful rule in its entirety.",108,10,USDA-2020-0009-0001
