id,docket_id,topic,likeliness
0900006484179a4a,EPA-HQ-OW-2019-0415,topic_4,0.6999999999996545
09000064841722c3,EPA-HQ-OW-2017-0300,topic_4,0.6999999999996545
09000064841741a0,EPA-HQ-OW-2019-0415,topic_8,0.7739006284089752
0900006484178866,EPA-HQ-OW-2019-0415,topic_4,0.6999999999996545
0900006484178eb7,EPA-HQ-OW-2019-0415,topic_8,0.566127827633108
0900006484178efc,EPA-HQ-OW-2019-0415,topic_4,0.5666686835452456
09000064841759e3,EPA-HQ-OW-2019-0415,topic_8,0.9149521985936987
0900006484175e91,EPA-HQ-OW-2019-0415,topic_4,0.6999999999996545
0900006484177625,EPA-HQ-OW-2019-0415,topic_4,0.6999999999996545
0900006484177658,EPA-HQ-OW-2019-0415,topic_4,0.3666676310371164
0900006484177806,EPA-HQ-OW-2019-0415,topic_4,0.6999999999996545
09000064841779c2,EPA-HQ-OW-2019-0415,topic_3,0.5020375929047068
0900006484177db7,EPA-HQ-OW-2019-0415,topic_4,0.6999999999996545
0900006484177dfa,EPA-HQ-OW-2019-0415,topic_8,0.6266778704954054
0900006484178012,EPA-HQ-OW-2019-0415,topic_4,0.6999999999996545
0900006484178058,EPA-HQ-OW-2019-0415,topic_4,0.6999999999996545
09000064841782d0,EPA-HQ-OW-2019-0415,topic_4,0.6999999999996545
090000648417843b,EPA-HQ-OW-2019-0415,topic_4,0.5067506331800162
0900006484178708,EPA-HQ-OW-2019-0415,topic_8,0.6989934872863861
0900006484178745,EPA-HQ-OW-2019-0415,topic_4,0.6999999999996545
090000648417a716,EPA-HQ-OW-2017-0300,topic_8,0.7018517204180758
090000648417ab1e,EPA-R09-RCRA-2019-0491,topic_2,0.4919548917144175
090000648417b05e,EPA-HQ-OW-2017-0300,topic_2,0.5495848275878742
090000648410afa7,EPA-HQ-OPP-2014-0181,topic_4,0.6530423401718523
090000648417d894,EPA-HQ-OW-2019-0415,topic_8,0.651977195179049
090000648417f697,EPA-HQ-OW-2019-0415,topic_4,0.6999999999996545
0900006484150d47,EPA-HQ-OPPT-2019-0122,topic_8,0.8373456564818975
0900006484150d7b,EPA-HQ-OPPT-2019-0121,topic_8,0.8373456564818975
0900006484150d7f,EPA-HQ-OPPT-2019-0123,topic_8,0.8373456564818975
0900006484150d81,EPA-HQ-OPPT-2019-0124,topic_8,0.8373456564818975
0900006484150dab,EPA-HQ-OPPT-2019-0125,topic_8,0.8373456564818975
0900006484150db1,EPA-HQ-OPPT-2019-0450,topic_8,0.8373455833471322
090000648415122d,EPA-HQ-OPPT-2019-0122,topic_8,0.8770277949441921
0900006484151234,EPA-HQ-OPPT-2019-0123,topic_8,0.8770277949441921
090000648415123a,EPA-HQ-OPPT-2019-0125,topic_8,0.8770277949441921
090000648415153c,EPA-HQ-OPPT-2019-0117,topic_8,0.8770277949441921
090000648415154a,EPA-HQ-OPPT-2019-0118,topic_8,0.8770277949441921
090000648415155a,EPA-HQ-OPPT-2019-0119,topic_8,0.8770277949441921
0900006484151561,EPA-HQ-OPPT-2019-0120,topic_8,0.8770277949441921
0900006484151566,EPA-HQ-OPPT-2019-0121,topic_8,0.8770277949441921
0900006484151574,EPA-HQ-OPPT-2019-0124,topic_8,0.8770277949441921
0900006484151598,EPA-HQ-OPPT-2019-0116,topic_8,0.8612474122624895
0900006484171d56,EPA-HQ-OW-2019-0415,topic_8,0.6957399782956077
09000064841882d8,EPA-R09-RCRA-2019-0088,topic_3,0.549999999999143
090000648418851c,EPA-R09-OAR-2019-0564,topic_2,0.6401089812872617
09000064840f717d,EPA-HQ-OPP-2017-0433,topic_4,0.38136529369258776
0900006484132ad8,EPA-HQ-OPP-2014-0133,topic_0,0.4932682199750714
090000648413c777,EPA-HQ-OPP-2017-0510,topic_2,0.4343878727026802
0900006484148a07,EPA-HQ-OPP-2017-0510,topic_0,0.49248855038256795
0900006484150d0b,EPA-HQ-OPPT-2019-0116,topic_8,0.8373456564818975
0900006484150d31,EPA-HQ-OPPT-2019-0117,topic_8,0.8373455833471322
0900006484150d41,EPA-HQ-OPPT-2019-0118,topic_8,0.8373456564818975
0900006484150d43,EPA-HQ-OPPT-2019-0119,topic_8,0.8373456564818975
0900006484188ffb,EPA-R02-OAR-2019-0551,topic_2,0.5580828554489272
090000648418a1de,EPA-HQ-OAR-2019-0373,topic_4,0.6999999999996545
0900006484150c4e,EPA-HQ-OPPT-2019-0107,topic_8,0.8770277949441921
0900006484151b3a,EPA-HQ-OPPT-2019-0109,topic_4,0.6999999999996545
