,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14
Topic 0,support,esa,emotional,people,mental,animals,health,docket,dotost20180068,animal,esas,rule,anxiety,travel,like
Topic 1,individual,person,individuals,animal,esa,esas,disability,mental,blind,connection,dotost20180068,animals,docket,support,health
Topic 2,support,emotional,animals,passengers,flight,crew,onboard,rule,attendant,proposed,safety,new,change,seen,defecate
Topic 3,individuals,esa,psychological,emotional,docket,dotost20180068,help,like,pet,support,need,creatures,esas,dont,issues
Topic 4,animals,dog,dogs,animal,people,service,flight,support,passengers,pet,emotional,plane,pets,trained,fly
Topic 5,travel,air,proposed,lavatories,aircraft,accessible,department,onboard,neuromuscular,rule,travelers,regulation,consideration,existing,disease
Topic 6,service,dog,miniature,horses,dogs,horse,animal,ada,trained,people,handler,like,animals,mobility,understand
Topic 7,transportation,rural,years,dot,life,state,new,united,2,time,areas,states,work,old,1
Topic 8,service,animals,animal,support,emotional,dogs,trained,airlines,people,training,dog,need,disabilities,disability,travel
Topic 9,attached,comments,fil,attach,transportation,comment,council,docket,y,thank,association,department,files,document,mi
