,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14
Topic 0,use,glyphosate,ash,epa,pesticides,used,health,food,effects,atrazine,pesticide,like,human,studies,ban
Topic 1,fusilade,florida,macadamia,fusion,thf,important,wetlands,force,task,excellent,listed,work,limited,issues,crews
Topic 2,pollution,health,epa,water,air,coal,clean,people,protect,communities,public,environment,toxic,regulations,need
Topic 3,attach,epa,data,studies,research,rule,science,health,proposed,disease,parkinsons,proposal,public,information,used
Topic 4,attached,comments,fil,association,behalf,submitted,letter,american,center,comment,files,file,council,biological,national
Topic 5,science,administrations,rule,health,epa,protect,epas,proposed,ability,scientific,public,environmental,proposal,best,air
Topic 6,methane,epa,gas,fuel,ethanol,rfs,farmers,oil,industry,energy,renewable,corn,president,waivers,emissions
Topic 7,mosquitoes,mosquito,gm,release,population,florida,oxitec,genetically,control,diseases,disease,brazil,gmo,oxitecs,modified
Topic 8,water,epa,proposed,environmental,rule,public,state,states,quality,epas,review,lead,health,comments,comment
Topic 9,parks,plan,national,canyon,epa,sip,state,coal,plants,require,clean,haze,utahs,hunter,huntington
