,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14
Topic 0,guidelines,dietary,health,committee,advisory,diets,disease,natural,public,help,food,americans,resources,scientific,evidence
Topic 1,added,sugars,food,dietary,science,health,guidelines,longterm,recommendations,follow,committee,limits,public,supply,department
Topic 2,heart,disease,health,meat,animals,vegan,attached,fat,cholesterol,cancer,eating,plant,animal,fil,saturated
Topic 3,food,latino,schools,1,america,review,meal,environments,urge,4,3,salud,served,unhealthy,research
Topic 4,diet,low,carbohydrate,attach,eating,carb,lowcarbohydrate,diets,diabetes,carbohydrates,grams,calories,vegetable,say,lowcarb
Topic 5,guidelines,dairy,dietary,health,recommendations,food,group,breastfeeding,sick,people,choose,million,lactose,current,population
Topic 6,food,snap,children,people,rule,proposed,program,families,school,benefits,nutrition,need,assistance,eligibility,make
Topic 7,school,standards,nutrition,meal,healthy,sodium,meals,support,usda,food,rule,evidencebased,comment,period,health
Topic 8,school,meals,children,nutrition,health,standards,healthy,kids,sciencebased,good,rule,rely,foods,vegetables,proposed
Topic 9,dairy,guidelines,health,dietary,food,americans,20202025,people,lactose,committee,remove,recommendations,intolerant,best,science
