,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14
Topic 0,national,forest,forests,public,rule,need,natural,lands,tongass,resources,trees,logging,climate,clean,change
Topic 1,attach,ana,serra,dustin,holloway,dillard,stefanie,katelyn,rees,della,brenna,les,leta,roz,believer
Topic 2,roadless,rule,tongass,intact,alaska,protections,national,logging,timber,federal,value,current,place,alternative,habitat
Topic 3,paramount,com,surprise,presented,min,phone,intervention,slashing,chop,greatness,nonprofit,pilot,submitting,2racr,rocky
Topic 4,forests,national,public,oil,communities,forest,development,rule,lands,climate,industry,gas,important,land,environmental
Topic 5,leasing,role,bureau,usfs,proposed,states,united,process,land,dear,forest,secretary,services,places,management
Topic 6,rule,alaska,roadless,public,action,support,alternative,alaskans,economic,1,choice,including,protect,tongass,corporate
Topic 7,stewart,tamara,advstate,miriam,emily,ian,harry,samantha,tami,geoffrey,tricia,bernadette,clara,amelia,friedman
Topic 8,roadless,tongass,areas,wildlife,wild,rule,salmon,area,forest,percent,management,fish,lands,public,fishing
Topic 9,attached,fil,roosevelt,theodore,ted,alon,nepa,street,teddy,note,speculative,reform,fuck,submit,kern
