,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14
Topic 0,religious,religion,government,organizations,church,state,services,beliefs,separation,proposed,discriminate,faith,rule,tax,based
Topic 1,services,religious,freedom,people,proposed,taxpayerfunded,providers,social,rules,changes,faithbased,reject,need,rights,programs
Topic 2,attached,fil,comments,congressman,comment,submitted,behalf,ag,isobus,precision,national,data,aef,certified,field
Topic 3,schools,medical,farms,million,new,health,wind,year,children,state,care,county,subsidies,flexner,physicians
Topic 4,government,oppose,religion,rule,clearly,students,veteran,american,democracy,persecution,claims,proposal,belief,business,bending
Topic 5,rule,religious,proposed,services,governmentfunded,programs,freedom,organizations,access,government,oppose,people,beliefs,intended,help
Topic 6,western,region,directors,states,agricultural,session,extension,breakout,pacific,request,northeast,regions,laws,attendees,aes
Topic 7,religious,people,services,need,taxpayerfunded,proposed,freedom,discrimination,lgbtq,women,minorities,rule,nonreligious,rely,rules
Topic 8,snap,school,meals,program,children,nutrition,families,extension,proposal,university,asn,food,eligibility,aerosolization,safety
Topic 9,agriculture,food,usda,agricultural,innovation,production,data,systems,farmers,management,research,water,farm,environmental,soil
