,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14
Topic 0,schools,medical,law,health,does,care,million,year,new,state,legislation,order,accept,group,based
Topic 1,discrimin,religious,law,congress,branch,remain,usda_frdoc00012157,drast,avoid,committee,emphatically,george,attempt,joint,baptist
Topic 2,data,isobus,precision,ag,aef,field,certified,using,tractor,machines,functions,research,collected,implement,tcgeo
Topic 3,farms,wind,kentucky,children,administration,factory,meanspirited,state,acreage,type,energy,leadership,way,especially,produce
Topic 4,request,laws,form,review,53,bargaining,title,attempt,equipment,direct,pilot,program,determination,agricultural,reconnect
Topic 5,government,chang,attacks,rule,attack,independence,veteran,does,freedoms,fought,proposed,rights,thinking,pathetic,ancestors
Topic 6,western,region,directors,agricultural,session,extension,pacific,states,breakout,regions,association,innovation,aes,attendees,miles
Topic 7,state,church,separation,religion,establishment,clause,eliminate,government,agnostic,states,changes,violates,supreme,abuse,open
Topic 8,behalf,following,opportunity,thank,community,13831,indiana,liberties,submit,comments,local,executive,state,places,essential
Topic 9,usda,agriculture,food,agricultural,farmers,innovation,data,research,systems,farm,management,new,production,water,support
Topic 10,thi,aquaculture,insane,emphasis,provide,systems,screen,sensors,algorithms,edge,requireing,manipulators,autonomy,especially,inspection
Topic 11,factory,subsidies,dollars,natural,money,govt,taxpayer,reflect,leave,efforts,way,energy,project,council,pay
Topic 12,religion,federal,protect,orthodox,studied,nondiscrimination,register,regarding,freedom,amendments,submits,2897,85,17,thank
Topic 13,children,school,snap,meals,program,food,families,proposal,nutrition,students,eligibility,free,department,love,assistance
Topic 14,elses,believe,organ,threaten,sides,different,views,right,worship,promote,accept,attempt,stop,thinly,explicitly
Topic 15,production,sequestration,hydroponics,carbon,seafood,regenerative,bionutrient,bending,consumption,payers,limiting,forestry,consumers,loss,soilbased
Topic 16,president,trump,honor,babies,stand,god,equal,taken,opportunity,house,treatment,white,1,initiative,blessing
Topic 17,strengthen,local,small,community,market,farms,conservationfundorg,fairfax,particular,county,connecting,economy,oppression,surprised,roll
Topic 18,services,religious,people,freedom,proposed,providers,taxpayerfunded,social,rules,changes,faithbased,need,reject,rights,programs
Topic 19,extension,university,land,grant,emissions,included,sentence,expertsspecialists,surveys,expertspecialist,opmp,option,instead,knowledge,respected
Topic 20,data,systems,pi,da,gd,sbfm,emissions,use,tools,3b,3a,requires,agriculture,quantifying,ghg
Topic 21,attached,fil,comments,comment,submitted,national,file,behalf,pdf,com,associ,council,files,letter,union
Topic 22,remove,recommend,environment,safeti,appointments,impeached,mor,obamas,office,reestablish,better,register,public,trump,administrations
Topic 23,tobacco,jam,bibles,carolina,klove,story,census,winter,veterans,administration,slippery,slope,north,christian,recirculating
