,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14
Topic 0,religious,religion,government,organizations,church,state,services,beliefs,separation,proposed,discriminate,faith,rule,tax,based
Topic 1,services,religious,freedom,people,proposed,providers,taxpayerfunded,social,rules,changes,faithbased,reject,need,rights,programs
Topic 2,congressman,data,ag,isobus,precision,aef,certified,tractor,field,using,machines,functions,society,file,collected
Topic 3,attached,fil,comments,submitted,schools,medical,health,million,new,letter,wind,state,year,associ,pdf
Topic 4,government,oppose,religion,rule,belief,students,persecution,veteran,claims,business,vehemently,regardless,bending,atheism,thor
Topic 5,rule,religious,proposed,services,governmentfunded,programs,freedom,organizations,access,oppose,government,people,beliefs,intended,strongly
Topic 6,western,region,directors,agricultural,session,extension,states,secular,breakout,northeast,pacific,regions,religion,problems,laws
Topic 7,religious,people,services,need,taxpayerfunded,proposed,freedom,discrimination,lgbtq,women,rule,nonreligious,minorities,rules,concerned
Topic 8,snap,school,meals,program,nutrition,children,families,extension,food,attach,proposal,university,asn,eligibility,aerosolization
Topic 9,agriculture,food,usda,agricultural,innovation,production,data,systems,farmers,management,research,water,farm,soil,environmental
